class_name,feature,n_samples,spearman_conflict_vs_shap_range,spearman_conflict_vs_shap_variance,spearman_conflict_vs_sign_instability,mean_shap_range,mean_shap_variance,mean_sign_instability
normal,cat__flag_S3,256,0.2180292465562373,0.2196018294597131,0.22086523022594282,0.0697473006830478,0.0066242025887266786,0.007291666666666665
normal,cat__flag_SF,256,-0.03363194372647102,-0.08692512977413724,-0.2464167748933141,0.3546298706032758,0.01173781303656507,0.30052083333333335
normal,cat__flag_SH,256,,,,0.0,0.0,0.0
normal,cat__protocol_type_icmp,256,-0.053281595660561565,-0.0052085181461313124,-0.00012740209291124663,0.11001815053657533,0.0016281621936437831,0.08359375
normal,cat__protocol_type_tcp,256,0.07684223150779353,0.06266366121427208,0.04311752058778818,0.44576529876849236,0.03098500728217838,0.10052083333333334
normal,cat__protocol_type_udp,256,0.1143326856342079,0.1094773952918739,-0.038416181954235455,0.46017804653001804,0.04025717413832107,0.17343750000000002
normal,cat__service_IRC,256,,,,0.0,0.0,0.0
normal,cat__service_X11,256,,,,0.0,0.0,0.0
normal,cat__service_Z39_50,256,0.007913726204481572,0.06694584600007383,-0.0245646354906084,0.006313209046083911,3.191622575814337e-06,0.3380208333333333
normal,cat__service_aol,256,,,,0.0,0.0,0.0
normal,cat__service_auth,256,-0.1398901968251852,-0.13337402410529303,-0.017652318637047568,0.018078986570060348,3.20180651077975e-05,0.0018229166666666667
normal,cat__service_bgp,256,,,,0.0,0.0,0.0
normal,cat__service_courier,256,0.1762426943127003,0.1673955177507819,0.0003652114241609073,0.007160542433766074,4.36826264015805e-06,0.35390625000000003
normal,cat__service_csnet_ns,256,,,,0.0,0.0,0.0
normal,cat__service_ctf,256,0.24827457119290147,0.18582292157666683,0.2172830900545657,0.006119350445906855,3.3240070384071228e-06,0.25364583333333335
normal,cat__service_daytime,256,,,,0.0,0.0,0.0
normal,cat__service_discard,256,0.1812193481846529,0.21284840706571598,0.10941556442684172,0.007599985465562312,4.528417254960494e-06,0.13359374999999998
normal,cat__service_domain,256,,,,0.0,0.0,0.0
normal,cat__service_domain_u,256,-0.020301796116660983,0.0033835702563109775,0.12313412481939313,0.09897924850292836,0.0014530227479190893,0.03671875
normal,cat__service_echo,256,0.1119710063755524,0.08576917961239966,0.0504448657219825,0.006585869514182659,3.4600741656151775e-06,0.09374999999999999
normal,cat__service_eco_i,256,-0.14636184701234164,-0.1668666124920737,0.156600040248364,0.07351473611356593,0.000757482866775298,0.06848958333333333
normal,cat__service_ecr_i,256,0.17227368820502692,0.17463799875441002,-0.08329353258227747,0.069174707590264,0.0008955893489691071,0.017708333333333333
normal,cat__service_efs,256,0.1597986852069711,0.2911012885752554,0.2394246601163543,0.015704783677847348,2.0280704233770978e-05,0.39921875000000007
normal,cat__service_exec,256,,,,0.0,0.0,0.0
normal,cat__service_finger,256,0.07778278512166499,0.04690662961879134,0.0030088684535021257,0.06094154445793258,0.00030700658373262416,0.09791666666666665
normal,cat__service_ftp,256,-0.33236676153955286,-0.3217455798039503,0.09197851854372481,0.06546666603120414,0.004132276857892301,0.10520833333333332
normal,cat__service_ftp_data,256,-0.05326173345678227,-0.04337809736876926,-0.05255799396647159,0.1409650914019948,0.007987251980412677,0.20364583333333333
normal,cat__service_gopher,256,,,,0.0,0.0,0.0
normal,cat__service_harvest,256,,,,0.0,0.0,0.0
normal,cat__service_hostnames,256,-0.20224857632143523,-0.19396176963701497,0.0880785098364861,0.00586273562810637,3.078973515212883e-06,0.2872395833333334
normal,cat__service_http,256,0.07584396527812844,0.09675819772480918,0.09138097753012223,0.3731160665174684,0.01296038739290655,0.04895833333333333
normal,cat__service_http_443,256,,,,0.0,0.0,0.0
normal,cat__service_http_8001,256,,,,0.0,0.0,0.0
normal,cat__service_imap4,256,0.033103775597447024,0.06902176168262397,0.1541766952672866,0.10415256206596263,0.008404434825366843,0.09140625
normal,cat__service_iso_tsap,256,0.029702230870224607,0.0036701230345771016,-0.09849929915809255,0.013444966477209067,1.6548277761317674e-05,0.33958333333333335
normal,cat__service_klogin,256,,,,0.0,0.0,0.0
normal,cat__service_kshell,256,0.07626499184384232,0.10634029788275129,0.14688767402375777,0.008129373714154911,5.300591990261441e-06,0.38411458333333337
normal,cat__service_ldap,256,,,,0.0,0.0,0.0
normal,cat__service_link,256,0.08318235332769922,0.05739258840935589,0.16597079590618888,0.017782841048756284,2.5504408533707425e-05,0.32161458333333337
normal,cat__service_login,256,,,,0.0,0.0,0.0
normal,cat__service_mtp,256,,,,0.0,0.0,0.0
normal,cat__service_name,256,,,,0.0,0.0,0.0
